label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Juices,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Juices,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Juices,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Mosambi Juice,ProductType,4,"Inventory,Food,Restaurant,Juices,Vegeterian,",150,,https://drive.google.com/file/d/1oMSUzAgQZveNg02BgFvjJSEcm_8ANf70/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MosambiJuice.jpg,,
Orange Juice,ProductType,5,"Inventory,Food,Restaurant,Juices,Vegeterian,",150,,https://drive.google.com/file/d/1j80vvKuqCQogkjKBmGOBZMFTfVIxYuJM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg,,
Pineapple Juice,ProductType,6,"Inventory,Food,Restaurant,Juices,Vegeterian,",150,,https://drive.google.com/file/d/1ZEbR-NEdaJrVFOlCKFWiOWfhZr80EI-t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pineapple-juice.jpg,,
Watermelon Juice,ProductType,7,"Inventory,Food,Restaurant,Juices,Vegeterian,",150,,https://drive.google.com/file/d/1TDU37UjAkUD2A2QEtVBsSa6UcfOV3nFf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Watermelon-Juice.jpg,,
Apple Juice,ProductType,8,"Inventory,Food,Restaurant,Juices,Vegeterian,",160,,https://drive.google.com/file/d/1SSByeYHJ7OOY4sbQnftcyiadxrpfgoo5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AppleJuice.jpg,,
Cold Coffee Juice,ProductType,9,"Inventory,Food,Restaurant,Juices,Vegeterian,",170,,https://drive.google.com/file/d/1FmD9GCHduM7l6M78Fzji2SnTBJvdJB4r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/ColdCoffeeJuice.jpg,,
Milkshake,ProductClass,1,"Inventory,Food,Restaurant,",,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Milkshake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Milkshake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Chocolate Milkshake,ProductType,4,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",190,,https://drive.google.com/file/d/1gNNdOKRjSHqwP3pL85tcu-djoMI3tUvh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChocolateMilkShake.jpg,,
Strawberry Milkshake,ProductType,5,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",190,,https://drive.google.com/file/d/17-ktX_OXNAz_CT3APQrVISIwFTxGUTrq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/AppleMilkshake.jpg,,
Chikku Milkshake,ProductType,6,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",190,,,,,
Vanila Milkshake,ProductType,7,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",190,,https://drive.google.com/file/d/11Z2cQqMO5mczBFdOJVaUyknxzjTn1rQn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MilkShake.jpg,,
Mango Milkshake,ProductType,8,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",190,,https://drive.google.com/file/d/1qWW1Jy4hAqIimr4tdM3oKwCTXro-ZLqJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MangoMilkShake.jpg,,
Dry Fruit Milkshake,ProductType,9,"Inventory,Food,Restaurant,Milkshake,Vegeterian,",250,,https://drive.google.com/file/d/17PDFV6aO7qdjE9eHtJE2RIdB4Y78YChb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VanillaMilkShake.jpg,,
Mocktails,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1fTXHVs3UMykOSulMgLwMzwk8qxEC5COK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/mocktails.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mocktails,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Virgin Pinacoloda,ProductType,4,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",210,,,,,
Fruit Punch,ProductType,5,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",210,,https://drive.google.com/file/d/1outeXcAnSlP7Z6NECu2JtCzLUVM1fzfb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FruitPunch.jpg,210,210
Evergreen Cooler,ProductType,6,"Inventory,Food,Restaurant,Mocktails,Vegeterian,",180,,,,180,180
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Royal Falooda,ProductType,4,"Inventory,Food,Restaurant,Desserts,Vegeterian,",200,,https://drive.google.com/file/d/1dvsy_chmp_4sLqHWqfxoCm8BRNmKDVY6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/RoyalFalooda.jpg,200,200
Kesar Falooda,ProductType,5,"Inventory,Food,Restaurant,Desserts,Vegeterian,",220,,https://drive.google.com/file/d/1Rdf1V54mloLzYCoEEdjhgLyi_XVKGnbx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/KesarFalooda.jpg,220,220
Jelly With Ice Cream,ProductType,6,"Inventory,Food,Restaurant,Desserts,Vegeterian,",180,,https://drive.google.com/file/d/1igc99qIeX2dnhT_Ni9pA9U0lZBFjMRXB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/JellyWithIceCream.jpg,,
Fruit Salad,ProductType,7,"Inventory,Food,Restaurant,Desserts,Vegeterian,",180,,https://drive.google.com/file/d/1kYhYOMSfljm_u87hykH_87E_eg0zapEw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FruitSalad.jpg,180,180
Sizzling Brownie,ProductType,8,"Inventory,Food,Restaurant,Desserts,Vegeterian,",299,,https://drive.google.com/file/d/1K7PbfALMY5oz19lEMHK0koFnT01cFGqm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sizzling-Brownie.jpg,299,299
Sizzling Brownie (Double),ProductType,9,"Inventory,Food,Restaurant,Desserts,Vegeterian,",390,,https://drive.google.com/file/d/1V6ULVtyoYT1kryA7xKhDda2dtHIKuSoR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/SizzlingBrownieDouble.jpg,390,390
Brownie With Chocolate Sauce,ProductType,10,"Inventory,Food,Restaurant,Desserts,Vegeterian,",140,,https://drive.google.com/file/d/1nCGUP4--ZWYteS0ptr2LAjJp-22fVM7j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/BrownieWithChocolateSauce.jpg,140,140
Malai Kulfi,ProductType,11,"Inventory,Food,Restaurant,Desserts,Vegeterian,",120,,https://drive.google.com/file/d/1Q2nDCkWJ6b-YRpfGdYSN3f5pHTm5QJqV/view?usp=sharing,,120,120
Kesar Pista Kulfi,ProductType,12,"Inventory,Food,Restaurant,Desserts,Vegeterian,",135,,https://drive.google.com/file/d/11_iVm4DTByYhLVUclh8zXfGPznSCmoEX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KesarPistaKulfi.jpg,135,135
Kulfi Falooda,ProductType,13,"Inventory,Food,Restaurant,Desserts,Vegeterian,",180,,https://drive.google.com/file/d/1C1L8NblNoH2ymf9C7ZJkCfmTSSCHBLiZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/KulfiFalooda.jpg,180,180
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vanila Ice Cream (2 Scoops),ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/11x4iCxjKdeEzkBiqhCBkqAaZvypY7kYZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VanilaIceCream2Scoops.jpg,,
Strawberry Ice Cream (2 Scoops),ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/12Z5_ZQE_QokOAx2wcSICM3NEUJXzJiPA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/StrawberryIceCream2Scoops.jpg,,
Chocolate Ice Cream (2 Scoops),ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/1G9di5Iw3BndVyl1_ljbib14w7qQ9H51Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/ChocolateIceCream2Scoops.jpg,,
Butterscotch Ice Cream (2 Scoops),ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/1015Kv8Gjt8qdptFrn0fkKJn7ffCggiuU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/ButterscotchIceCream2Scoops.jpg,,
Kesar Pista Ice Cream (2 Scoops),ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/1pf7Rz9213RbHZ6EbGTdZ09qCZRmbUzRm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/KesarPistaIceCream2Scoops.jpg,,
Mango Ice Cream (2 Scoops),ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",160,,https://drive.google.com/file/d/15r_UaELMNldoTpwPMTXRao4UJl6LtE80/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/MangoIceCream2Scoops.jpg,,
Plain Curd,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",85,,https://drive.google.com/file/d/1wJ7XICCfLtmDs15Kx_1krAzfSmxVsFh4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Curd.jpg,85,85
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",170,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,,
Cheese Pav Bhaji,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",220,,https://drive.google.com/file/d/1gjL6a4ltx1oCxoC4q-OU3DlxU2GebEvl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg,220,220
Extra Pav,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg,15,15
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Sweet Corn Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/1_1FoZQ6LO1CAso_34uhApiZBAirl2JuB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweet-Corn-Soup.jpg,,
Plain Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/19evseUeosL3eP38MhIa5aRjPhYmTlZns/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/PlainSoup.jpg,,
Manchow Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/1BijFXiqsbR-131VPPi7c_m-RTkvarToW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ManchowSoup.jpg,210,210
Talumein Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/1pvwkBBt08uybFNbOSVa9GfS5aLB9rkmC/view?usp=sharing,,210,210
Burnt Garlic Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/1-bP9LDbUn4lpig5DDUmJuJ98ar6rYyNo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/BurntGarlicSoup.jpg,210,210
Veg Clear Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",210,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,,
