label,nodeType,order,path,price,description,link,imageLink
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,
Bread Butter,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/14FRb1qE5r6vwLMr-r43KXWtC8mgem1_1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BreadButter.jpg
Toast Bread Butter,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,,https://drive.google.com/file/d/1oYcHLESSSIOayeAEqrtg7TTqK_WXZo_3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ToastBreadButter.jpg
Bread Butter Jam,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1Ba37LLXhu4CmoxPS3xwsP_rNl-y5YdC4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BREADBUTTERJAM.jpg
Toast Bread Butter Jam,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,,https://drive.google.com/file/d/1YHr_ux1TyBfl9QCUybBpizgz-JIKQjSu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/ToastBreadButterJam.jpg
Veg Chtlate,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,,
Aloo Poha,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/17u59AfYB_y5SKhharc8leWG1CiXwdfy-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/AlooPoha.jpg
Onion Poha,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1r0PpnendxLjoGe-GrCFhqBbquEXlRPcK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/OnionPoha.jpg
Sheera,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1t3rhL9TIVK5bGfVTlUXlxsqMfVJ5oiwU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg
Sabudana Vada,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg
Aloo Paratha With Curd,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1xa4tGyQWmHEbfPSggxXljqGUz9zK90K4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/AlooParathaWithCurd.jpg
Paneer Paratha With Curd,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1xJ_U1CMrbv9YRY06_dOHSEFM6w9B8sDJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/PaneerParathaWithCurd.jpg
Aloo Vada,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1guh9RCBy_N69Ni8tZ61vPxXfGKU41Yyy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooVada.jpg
Veg Omlett,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1xK4WeHtkdCpp9uqglDOGdAYgxdTJFL9u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegOmlett.jpg
Veg Tomato Omlett,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1uGnjkc1bu6EvRmbsdi_wZo3BPVnm339r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegTomatoOmlett.jpg
Upma,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,
Veg Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg
Veg Toast Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1CCUYsdOkb0olsggn0-9wsAldJzKsJpSe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegToastSandwich.jpg
Plain Cheese Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1xXInVJvZ5xAn-OhnMMF5dZkYHUqSbwTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PlainCheeseSandwich.jpg
Veg Cheese Sandwich,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1KpGokOU5g-fXnP4nPTPKdTs58r4zm04K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseSandwich.jpg
Veg Toast Cheese Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1UHVtkrRftN4yvKYqvEy6B5picLAaDWZC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegToastCheeseSandwich.jpg
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,
Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1fd2gFK13kA_Nc4iEqwyT__x9hmcV5BvG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tea.jpg
Black Tea,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25,,https://drive.google.com/file/d/105ewB4ragW0eEl4dU9Yd8hf8Ee9W8Qug/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackTea.jpg
Lemon Tea,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25,,https://drive.google.com/file/d/1nEoRXZSXOjaL2wIwEh3DOITrRRP0SLI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonTea.jpg
Coffee,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",35,,https://drive.google.com/file/d/1Euh2dH6rEeREBGnpoYhanuCocHz7zE4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Coffee.jpg
Hot Milk,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/1CyxAZvFpgIYWGIgBJE9QEffaS_VhQQjU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotMilk.png
Bournvita,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1EOOH7iOV2Q2SSTQalh1nicOec_BFmjTY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/Bournvita.jpg
Mineral Water,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25,,https://drive.google.com/file/d/1dE6p3x7iaL_Ob1eUU_qTV5Mgo1QFiBzv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MineralWater.jpg
Soda,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1KNdAve64Xvgp3mf0RNuiH38lW0M-DvxM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soda.jpg
Soda 500ml,ProductUnit,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,Soda,",60,, ,
Soda 300ml,ProductUnit,13,"Inventory,Food,Restaurant,Beverages,Vegeterian,Soda,",30,, ,
Fresh Lime Soda,ProductType,14,"Inventory,Food,Restaurant,Beverages,Vegeterian,",40,,https://drive.google.com/file/d/1XWxK7uoHR0YdXYlWzRSpVWnyAKPqSJfd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FreshLimeSoda.jpg
Fresh Lime Water,ProductType,15,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1Nb2hCv9QtkXOgJZXvMzPVWV4mljtCmJc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FreshLimeWater.jpg
Butter Milk,ProductType,16,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1are1xYhfCVHfLjq7qgYAF6KOq6Zn4w07/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMilk.jpg
Sweet Lassi,ProductType,17,"Inventory,Food,Restaurant,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1JUZ2Orfl0bTLnH_N3nLYLAtL4BK6gClO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweetlassi.jpg
Cold Coffee,ProductType,18,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/12q3woJzjR7FpBQfmLThIsX0ExUZ8wRPo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffee.jpg
Cold Drinks,ProductType,19,"Inventory,Food,Restaurant,Beverages,Vegeterian,",150,, ,
Cold Drinks 500ml,ProductUnit,20,"Inventory,Food,Restaurant,Beverages,Vegeterian,Cold Drinks,",60,,,
Cold Drinks 1.5ltr,ProductUnit,21,"Inventory,Food,Restaurant,Beverages,Vegeterian,Cold Drinks,",150,,,
Mazza,ProductType,22,"Inventory,Food,Restaurant,Beverages,Vegeterian,",70,,https://drive.google.com/file/d/13OCd1N7-PXQD3m6UfnE6A6vYfOSdI5Gj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodpendinglinks20220531/Mazza.jpg
Mazza 500ml,ProductUnit,23,"Inventory,Food,Restaurant,Beverages,Vegeterian,Mazza,",70,,https://drive.google.com/file/d/197GmME3dHELMV44zgV_ZgXyWh-AL5YWS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/Mazza500ml.jpg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,
Tandoori Roti,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,,https://drive.google.com/file/d/1p6eNQrcVnNmzujXu2Tlh9MKJdIX9WyOK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriRoti.jpg
Tandoori Butter Roti,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",25,,https://drive.google.com/file/d/1lCjPtxyGQ1xnJvXJX6OALoj4ncfMgFBN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriButterRoti.jpg
Plain Paratha,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/1qV8qpA2w8zhMz6o3Tuekr7xGQti0wcmH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainParatha.jpg
Butter Paratha,ProductType,7,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/1ZNQWvoY4RDYiK-1VB7agePGOh6Lb0xHz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterParatha.jpg
Naan,ProductType,8,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",80,,https://drive.google.com/file/d/1HGpowHCtwGjO9lQu_UGtIBIw8scvg48S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Naan.jpg
Butter Naan,ProductType,9,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",85,,https://drive.google.com/file/d/1MtQMs3CTx3V8aidYwZMPC4fkYQr9cYrr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterNaan.jpg
Kulcha,ProductType,10,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",60,,https://drive.google.com/file/d/1UiYj7XmI0co1RiWilUv__5eUoEp2_YB_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Kulcha.jpg
Butter Kulcha,ProductType,11,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",65,,https://drive.google.com/file/d/11DOuIe86RXOgEGTqVwSJtZUPheewt2Ih/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterKulcha.jpg
Garlic Naan,ProductType,12,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",70,,https://drive.google.com/file/d/1ZrjzImNdtXyFGwa8e1Mzd7oH4glw7hFg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GarlicNaan.jpg
Butter Garlic Naan,ProductType,13,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",80,,https://drive.google.com/file/d/1fYXPvQ68vTePbGlJuHKrW-cEOqmlma44/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterGarlicNaan.jpg
Chapati,ProductType,14,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",25,,https://drive.google.com/file/d/1BCZG8M0F-__45K4lUhTp357cF_FXpX8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chapati.jpg
Butter Chapati,ProductType,15,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/1caizJDjMx1SJWxFLCQo3mIbbJRJ5ynbR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChapati.jpg.crdownload.jpg
Stuff Paratha,ProductType,16,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",70,,https://drive.google.com/file/d/1XAKQMQRdB-cVY_nFVSJJJy4TfxnwqajT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/StuffParatha.jpg
Aloo Paratha With Curd,ProductType,17,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",80,,https://drive.google.com/file/d/1xa4tGyQWmHEbfPSggxXljqGUz9zK90K4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/AlooParathaWithCurd.jpg
Onion Kulcha,ProductType,18,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",90,,https://drive.google.com/file/d/1rdAmMrkFuvkYGGSCYakMgq1XG3Kvfkdu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/onionkulcha.jpg
Chinese Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1JChnKAzTY3cENtv-NqG-NJYgkG1q955E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodpendinglinks20220531/ChineseStarters.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese Starters,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese Starters,",,,,
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg
Veg Chilly,ProductType,5,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1uajZYs-SoWFHXgfHEpp9emy3K1lt9Hkp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegChilly.jpg
Veg 65,ProductType,6,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1vNWQi-EBkMH-6PuGayKQApq8nSpw6IHV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg65.jpg
Veg Finger,ProductType,7,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/18_HLkVh7q4EjpNSUUsPJ_wWMdhFZyGYZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegFinger.jpg
Veg Crispy,ProductType,8,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",160,,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg
Veg Gold Coin,ProductType,9,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/169Sq_FvgffIEL6BxlIZAN3-Iz_hl8fwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGoldCoin.jpg
Veg Reshmi,ProductType,10,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,,
Veg Spring Roll,ProductType,11,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1B6jABivt6vPzdMLxzUamh_sH58-CN1Nl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Spring-Roll.jpg
Paneer Chilly,ProductType,12,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",200,,https://drive.google.com/file/d/1kCqkt77Pxcbez6FkI0cGxMSwSl6KLsdx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilly.jpg
Paneer Manchurian,ProductType,13,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",200,,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg
Paneer 65,ProductType,14,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",190,,https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg
Chinese Bhel,ProductType,15,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",160,,https://drive.google.com/file/d/1GPi9hn0ZkUeegyxQKlKo7r_UcsvbSsw4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChineseBhel.jpg
Veg Satte,ProductType,16,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,,
Veg Lolipop,ProductType,17,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1j4XskVsyWexf_t2k5kwlXKabSsGzfjrR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegLolipop.jpg
Veg Lolipop 6Pcs,ProductUnit,18,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,Veg Lolipop,",150,,https://drive.google.com/file/d/1jkxjRG7ikO_AhtSzyuIKM0R49qXkiK4n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegLolipop6Pcs.jpg
Extra Schezwan Saucece,ProductType,19,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",60,,,
Veg Koliwada,ProductType,20,"Inventory,Food,Restaurant,Chinese Starters,Vegeterian,",150,,https://drive.google.com/file/d/1xsG6r9w7UoXsscDt-cqWvylAmFxhBGPm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Koliwada.jpg
Veg Soup,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1yLlYEIedcl0jUYKgFBGLxxLSHqElVT62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soup,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soup,",,,,
Cream Of Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",70,,https://drive.google.com/file/d/1WHFUPHIxPdlEVtTuT5s9h1J7Jj00Mi0K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/creamoftomatosoup.jpg
Veg Clear Soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",70,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg
Veg Sweet Corn soup,ProductType,6,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",70,,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg
Veg Manchow Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",70,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Veg Hot & Sour Soup,ProductType,8,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",80,,https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg
Cream Of Veg Soup,ProductType,9,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",80,,https://drive.google.com/file/d/1V9wBEvZfphqxLztUvh0RzuFcY-yMP60u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CreamOfVegSoup.jpg
French Onion Soup,ProductType,10,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",80,,https://drive.google.com/file/d/1T3VqAxzJ3tmkgIV8nEN1m9EiGGc1dd13/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/FrenchOnionSoup.jpg
Salads,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salads,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Salads,",,,,
Tomato Salad,ProductType,4,"Inventory,Food,Restaurant,Salads,Vegeterian,",40,,https://drive.google.com/file/d/1EKvBO-AElsxN9Ct6Vj-N2-ciuqDW7_ro/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoSalad.jpg
Green Salad,ProductType,5,"Inventory,Food,Restaurant,Salads,Vegeterian,",50,,https://drive.google.com/file/d/13f6xLUaMAgsL5WTIgZ5CBWFIUQK4FgBO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenSalad.jpg
Italian Salad,ProductType,6,"Inventory,Food,Restaurant,Salads,Vegeterian,",65,,https://drive.google.com/file/d/1ya4H1e8VvKohW5tMZGm_5k_xDXrOO1TR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/ItalianSalad2.jpg
Kachumber Salad,ProductType,7,"Inventory,Food,Restaurant,Salads,Vegeterian,",50,,https://drive.google.com/file/d/1hJVKI6M_bDneJZQMUWA4k3ObHHnYhyGc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KachumberSalad.jpg
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roasted,",,,,
Roasted Papad,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",18,,https://drive.google.com/file/d/1of1vgMY8AXJeDPdUGKu4-2fJb9nwbbQ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/RoastedPapad.jpg
