label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,,73
Butter Bhaji,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,,https://drive.google.com/file/d/1OyV8PpKXvXyURyHrtmS1J71dc8lf1N80/view?usp=sharing,,,79
Paneer Pav Bhaji,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1l_S5glnUXhoJStDBPtxC5PhKpHN411lg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPavBhaji.jpg,,98
Cheese Pav Bhaji,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1gjL6a4ltx1oCxoC4q-OU3DlxU2GebEvl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg,,98
Pahadi Pav Bhaji,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/10mESnpQKQGEVw-0FsE1RT-wSskWdZPwk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/PahadiPavBhaji.jpg,,
Masala Pav,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1hlPAKukVuC00dFC-zteog7nNORmSUdEt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaPav.jpg,,61
Cheese Masala Pav,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1fwW3Fn0f7jlSVvxOD86f1Il6glnxtuzd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseMasalaPav.jpg,,85
Single Pav,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",5,,https://drive.google.com/file/d/194koHlPTMg-nMfpBzhlOmeOzAGOhuJSX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SinglePav.jpg,,
Extra Pav,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",10,,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg,,
Extra Pav (2 Pcs),ProductUnit,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Extra Pav,",10,,https://drive.google.com/file/d/1Zg52SIAyn1zJ588TH2an5vSu9cjNk91Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ExtraPav2Pcs.jpg,,
Extra Butter,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,https://drive.google.com/file/d/1iMOJcj0bpEwy1BWOT_Cvq8_coXkJcxt4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraButter.jpg,,
Extra Cheese,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",20,,https://drive.google.com/file/d/10YVSQDdgja9L1Tbrn0rPPPuAZJbTUmcF/view?usp=sharing,https://drive.google.com/file/d/10O8V3c8AlY4cjblRm_y4vLLwQQirm6u4/view?usp=sharing,,
Spl Kolhapuri Misal,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1_NnTdfBnNf_Ej2VyLRC44UBkFAjPpjhk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/SplKolhapuriMisal.jpg,,
Unlimited Pav Bhaji,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1bBZ2sWqW0c2b4UozjvNSXPuuo9svE44t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/UnlimitedPavBhaji.jpg,,
Momos,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseCornMomos.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Momos,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Momos,",,,,,,
Veg Fried Momos,ProductType,4,"Inventory,Food,Restaurant,Momos,Vegeterian,",110,,https://drive.google.com/file/d/13-Uj7TEP_nRAaZA_FsPrqjV3MCp3mJ7X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/VegFriedMomos.jpeg,,134
Paneer Fried Momos,ProductType,5,"Inventory,Food,Restaurant,Momos,Vegeterian,",130,,https://drive.google.com/file/d/11wc-SqgIUZ2YZzgX6r4AZ1H5fhvXiknv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/PaneerFriedMomos.jpg,,159
Shots,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Shots.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shots,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Shots,",,,,,,
Jamoon Shot,ProductType,4,"Inventory,Food,Restaurant,Shots,Vegeterian,",60,,,,,
Chocolate Shot,ProductType,5,"Inventory,Food,Restaurant,Shots,Vegeterian,",60,,https://drive.google.com/file/d/1pDG5EnS33ByHnGkYuw-h_MiDAyJoqkYN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateShot.jpg,,
Pasta,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Pasta.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pasta,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pasta,",,,,,,
White Sauce Panne Pasta,ProductType,4,"Inventory,Food,Restaurant,Pasta,Vegeterian,",130,,https://drive.google.com/file/d/1NS5uSiFxsW9u-zif-FvmMinoVRo6fdc3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/WhiteSaucePannePasta.jpg,,
Red Sauce Panne Pasta,ProductType,5,"Inventory,Food,Restaurant,Pasta,Vegeterian,",140,,https://drive.google.com/file/d/1FadYLPllVI0b51tGcfD06OjYK9lZr0YP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/RedSaucePannePasta.jpg,,
Garlic Sauce Panne Pasta,ProductType,6,"Inventory,Food,Restaurant,Pasta,Vegeterian,",150,,https://drive.google.com/file/d/160A95juKgD6Pv_AOXid1wJNsMPEGAlJY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/GarlicSaucePannePasta.jpg,,
Pink Sauce Panne Pasta,ProductType,7,"Inventory,Food,Restaurant,Pasta,Vegeterian,",150,,https://drive.google.com/file/d/1Hmi4RNBhKLBKtBOjg6L8qbAZ5AP5pgXz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/PinkSaucePannePasta.jpg,,
HSPL Sauce Panne Pasta,ProductType,8,"Inventory,Food,Restaurant,Pasta,Vegeterian,",160,,https://drive.google.com/file/d/1GHQwhpwDpRe_2k3kcWvinKGEahOcn4VA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/HSPLSaucePannePasta.jpg,,
Mastani,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eq3bCCXKRxUzQh-Z-1HSdykhPW8SDxQL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/mastani.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mastani,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mastani,",,,,,,
Mango Mastani,ProductType,4,"Inventory,Food,Restaurant,Mastani,Vegeterian,",140,,https://drive.google.com/file/d/1x1W3-4w0CLGLlbwKYCXVTc1dCDP448KA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoMastani.jpg,,
Strawberry Mastani,ProductType,5,"Inventory,Food,Restaurant,Mastani,Vegeterian,",140,,https://drive.google.com/file/d/1-VrZqVxwSpNRlhYrK4cz28hbVT-V4bK-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Strawberry-Mastani.jpg,,
Anjeer Mastani,ProductType,6,"Inventory,Food,Restaurant,Mastani,Vegeterian,",140,,https://drive.google.com/file/d/1Gx5ChC87qx1bmj_WUesEM32NeGUDIknb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/AnjeerMastani.jpg,,
Butterscotch Mastani,ProductType,7,"Inventory,Food,Restaurant,Mastani,Vegeterian,",140,,https://drive.google.com/file/d/1rhDey0U8odQ5Ur3FKxlWfJRrRewLk5oh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ButterscotchMastani.jpg,,
Kesar Mastani,ProductType,8,"Inventory,Food,Restaurant,Mastani,Vegeterian,",160,,https://drive.google.com/file/d/11Mf5xWDPzN6k02ccJesP_u45uaRF4b8e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/KesarMastani.jpg,,
Dry Fruit Mastani,ProductType,9,"Inventory,Food,Restaurant,Mastani,Vegeterian,",160,,https://drive.google.com/file/d/1aAot7jOdVnZF7pR-RbYj3Hsl2KOZwwla/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DryFruitMastani.jpg,,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,,,
Veg Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",70,,https://drive.google.com/file/d/11YHpTPQ5aPStb76GwxFCCKa5Btc_rhbO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Noodles.jpg,,
Veg Hakka Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",80,,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg,,98
Schezwan Hakka Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",80,,https://drive.google.com/file/d/1Wqu6bTp-tjEedF20V3vNgsircY5wjQem/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/SchezwanHakkaNoodles.jpg,,98
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,,,
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",80,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,,98
Veg Lolipop,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",90,,https://drive.google.com/file/d/1j4XskVsyWexf_t2k5kwlXKabSsGzfjrR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegLolipop.jpg,,
Maggi,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery-2/Maggi.png,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Maggi,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Maggi,",,,,,,
Plain Maggi,ProductType,4,"Inventory,Food,Restaurant,Maggi,Vegeterian,",40,,https://drive.google.com/file/d/1_YcVGC4h24w-PjmhpvOMk_0nb91Rww2r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Maggi.jpg,,49
Butter Maggi,ProductType,5,"Inventory,Food,Restaurant,Maggi,Vegeterian,",45,,https://drive.google.com/file/d/161HGnw8IUaP_lq0ii2ruIA0uza4oILPs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ButterMaggi.jpg,,55
Veggies Masala Maggi,ProductType,6,"Inventory,Food,Restaurant,Maggi,Vegeterian,",50,,https://drive.google.com/file/d/1LUbyRLu098K_nFjERhHFcrtu_1OIwgtw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VeggiesMasalaMaggi.jpg,,61
Paneer Masala Maggi,ProductType,7,"Inventory,Food,Restaurant,Maggi,Vegeterian,",60,,https://drive.google.com/file/d/1S3nS3hUPzvGKKRn5YdSp3Jk29PTAqXm6/view?usp=sharing,,,
Corn Masala Maggi,ProductType,8,"Inventory,Food,Restaurant,Maggi,Vegeterian,",60,,https://drive.google.com/file/d/1USNTcdlurZAWvm3MPvyTpiQvN2vOI-_r/view?usp=sharing,,,73
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,,,
Veg Grilled Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1hIiP9PG7moeTEdr58OpsJTWciu9UAXWy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGrilledSandwich.jpg,,
Veg Cheese Grilled Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1KvXAGpgMwQFIu7fRr78iTtQNmJEDUBJ-/view?usp=sharing,,,
Veg Paneer Cheese Grilled,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1TAlqAIM69fMH_sr8-G80X7ncZDONgrW6/view?usp=sharing,,,
Veg Samosa Cheese Grilled,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,,,,
Veg Club Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1x9A7JfWACoRXLAdBoytn2pA7Cc07lgaP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Club-Sandwich.jpg,,
Chocolate Cheese Grilled Sandwich,ProductType,9,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1k8Uc8XwfFFBq4eWI8DsCXa4RltcDXrKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ChocolateCheeseGrilledSandwich.jpg,,
Veg Tandoor Paneer Sandwich,ProductType,10,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1t_GzvR6M90f2-Q1LGNMjJ5YkxfXx5p5Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegTandoorPaneerSandwich.jpg,,
Cutlet Cheese Grilled Sandwich,ProductType,11,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/11vWrtxvU77D8g90FZz86rQ7OlNsjX0R4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CutletCheeseGrilledSandwich.jpg,,
Schezwan Club Sandwich,ProductType,12,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",120,,https://drive.google.com/file/d/1Rm6WdLQSfRZ7zNu2fT5_XIWVo-Yy4k61/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/SchezwanClubSandwich.jpg,,
Veg Mayo Grilled Sandwich,ProductType,13,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1TQSm7hRdDf159BicfZDyAw2woBKj48nd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegMayoGrilledSandwich.jpg,,
Veg Corn Grilled Sandwich,ProductType,14,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1ju4uuLGEkT2t1t1raqsjGeAOARbSutL1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegCornGrilledSandwich.jpg,,
Veg Cheese Chilly Grilled Sandwich,ProductType,15,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1YJ_xe0Q0JN81-4jZTdz4yyplZ91p6wCh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegCheeseChillyGrilledSandwich.jpg,,
Extreme Cheese Grilled Sandwich,ProductType,16,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1KUAMeubMB4DeSnJsf1Jl53fQbDDW9MIZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ExtremeCheeseGrilledSandwich.jpg,,
Chocolate Sandwich,ProductType,17,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1Eg5xgm79V5-0vaW7QEk45JaQ6CPTSpRh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateSandwich.jpg,,
Mumbai Sandwich,ProductType,18,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/19T1c36DyD2LtpCn75rRqXGa1G5on8CWf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/MumbaiSandwich.jpg,,
Burgers,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burgers,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Burgers,",,,,,,
Aloo Tikki Burger,ProductType,4,"Inventory,Food,Restaurant,Burgers,Vegeterian,",60,,https://drive.google.com/file/d/1PEIcTAasovQPy8im_wFljuWMW_T-Ioz5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikkiBurger.jpg,,73
Veg Regular Burger,ProductType,5,"Inventory,Food,Restaurant,Burgers,Vegeterian,",65,,https://drive.google.com/file/d/1Fx84Lj1yeL6eQXW-dPICWjMYxuNaCsuh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegRegularBurger.jpg,,79
Veg Paneer Burger,ProductType,6,"Inventory,Food,Restaurant,Burgers,Vegeterian,",80,,https://drive.google.com/file/d/1W0qC0aKQJPBKfdGU8ITbKCL8XlZVkFCk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegPaneerBurger.jpg,,
Corn Cheese Burger,ProductType,7,"Inventory,Food,Restaurant,Burgers,Vegeterian,",80,,https://drive.google.com/file/d/1lWCl4K_wPV652gROWYNjbc_Q9Of-ub3j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CornCheeseBurger.jpg,,
Tandoor Paneer Cheese Burger,ProductType,8,"Inventory,Food,Restaurant,Burgers,Vegeterian,",90,,https://drive.google.com/file/d/1fYtGSWVIYNKBT5Mw5XXdPu_yCC6PTr5f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/TandoorPaneerCheeseBurger.jpg,,110
Veg Double Deccker Burger,ProductType,9,"Inventory,Food,Restaurant,Burgers,Vegeterian,",90,,https://drive.google.com/file/d/1fQ05Q3uGWwQYwrOP8GqcsjoWZLc2gP4-/view?usp=sharing,,,
Triple Deccker Burger,ProductType,10,"Inventory,Food,Restaurant,Burgers,Vegeterian,",110,,https://drive.google.com/file/d/1zEdazsgelmbrco8HeZ6-S04zJ3t09wte/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/TripleDecckerBurger.jpg,,
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pizza,",,,,,,
Plain Cheese Pizza,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/19f9YNYnvweGsquttjwNzWqxOdj0ri4EA/view?usp=sharing,,,159
Plain Cheese Pizza Medium,ProductUnit,5,"Inventory,Food,Restaurant,Pizza,Vegeterian,Plain Cheese Pizza,",130,,https://drive.google.com/file/d/1z1z3sZibouplsMdLpuWf2HApMUiR8NAz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Cheese-Pizza-Medium.jpg,,
Plain Cheese Pizza Large,ProductUnit,6,"Inventory,Food,Restaurant,Pizza,Vegeterian,Plain Cheese Pizza,",150,,https://drive.google.com/file/d/1rRNM3-cJ0RbJdyD_z3w3klKNlZeidMQA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Cheese-Pizza-Large.jpg,,159
Margarita Pizza,ProductType,7,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1erxhkpLo2zE8fvTZ3AV9SNQ5_pWtaRep/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/MargaritaPizza.jpg,,
Margarita Pizza Medium,ProductUnit,8,"Inventory,Food,Restaurant,Pizza,Vegeterian,Margarita Pizza,",130,,https://drive.google.com/file/d/12W763NDYe5PVqUlzqsEdrbeHfgFwr1OZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/MargaritaPizzaMedium.jpg,,
Margarita Pizza Large,ProductUnit,9,"Inventory,Food,Restaurant,Pizza,Vegeterian,Margarita Pizza,",150,,https://drive.google.com/file/d/1oNLTeayWT_78EF49VCE6SWR7ylPhI4he/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/MargaritaPizzaLarge.jpg,,
Complete Veg Pizza,ProductType,10,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/14uMdR7AOOwTPVD_527ltm0m6_9YhZ5CU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CompleteVegPizza.jpg,,171
Complete Veg Pizza Medium,ProductUnit,11,"Inventory,Food,Restaurant,Pizza,Vegeterian,Complete Veg Pizza,",140,,https://drive.google.com/file/d/17hz4YAmJ-7KTLV2EZgnNRT2hC0M-fVFb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CompleteVegPizzaMedium.jpg,,
Complete Veg Pizza Large,ProductUnit,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,Complete Veg Pizza,",160,,https://drive.google.com/file/d/1LVtfl0X885VlRsTp3WWSkJCOMw0rnK9i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CompleteVegPizzaLarge.jpg,,171
Corn Cheese Pizza,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/19gmmeezVqtRekMi-uLLXeUHopbsxh5Qd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CornCheesePizza.jpg.crdownload.jpg,,171
Corn Cheese Pizza Medium,ProductUnit,14,"Inventory,Food,Restaurant,Pizza,Vegeterian,Corn Cheese Pizza,",140,,https://drive.google.com/file/d/1o6X89oyR_ceUZGm56p1Iz17H5OWVmZ3h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CornCheesePizzaMedium.jpg,,
Corn Cheese Pizza Large,ProductUnit,15,"Inventory,Food,Restaurant,Pizza,Vegeterian,Corn Cheese Pizza,",160,,https://drive.google.com/file/d/1ZWXvAqAwXLjOscVgVT9XnXr6K4zcoj27/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CornCheesePizzaLarge.jpg,,171
Veg Loaded Pizza,ProductType,16,"Inventory,Food,Restaurant,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1XquCyJPWosQcJEHEfHLXNRMrrNDccXpu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegLoadedPizza.jpg,,
Veg Loaded Pizza Medium,ProductUnit,17,"Inventory,Food,Restaurant,Pizza,Vegeterian,Veg Loaded Pizza,",140,,https://drive.google.com/file/d/1d5EDBgivuFNMRa_j8qQcLZj9MB30CxXz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegLoadedPizzaMedium.png,,
Veg Loaded Pizza Large,ProductUnit,18,"Inventory,Food,Restaurant,Pizza,Vegeterian,Veg Loaded Pizza,",180,,https://drive.google.com/file/d/1i2NME7QTAkFcmUZzCYjgL8tA8h1LSanM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegLoadedPizzaLarge.png,,
