label,nodeType,order,path,price,description,link,imageLink
Veg Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/13d5-RS6K5zB_it7T2SUJig2uLnC9EIKd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VegEntree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Paneer Tikka Masala,ProductType,4,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",240,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg
Paneer Pasanda,ProductType,5,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/17Yu6KNCHcPsLQufrz0v7tdk_nlJECrZ3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPasanda.jpg
Paneer Mutter,ProductType,6,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",200,,https://drive.google.com/file/d/16-YuLKQTtV-87TY7tLqWc-c_AkAvoTUN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMutter.jpg
Palak Paneer,ProductType,7,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",200,,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg
Stuffed Tomato,ProductType,8,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",140,,https://drive.google.com/file/d/1hnEq67NZG0JieSLvbOWRtpm2FOqHUK9M/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StuffedTomato.jpg
Stuffed Capsicum,ProductType,9,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1_BvKckdIndPMFxdv4xKwhw-S6iWr1NLS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Stuffed-Capsicum.jpg
Veg Kolhapuri,ProductType,10,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg
Veg Makhani,ProductType,11,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1cxtQCwstDeEwKTMJlEihAEUrtsXeAYLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegMakhani.jpg
Veg Kurma,ProductType,12,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",175,,https://drive.google.com/file/d/19qF7UWCLp85t9B_OnMdzK5bEgl3j_rKN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/VegKurma.jpg
Veg Jalfrezi,ProductType,13,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1gKfuZt8px5jS4U02ZF9IgsxPWnljv_zb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJalfrezi.jpg
Veg Kadai,ProductType,14,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1Qw5Oe1JTdDI6JvQhuyRuCTqULE1Jk_i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kadai.jpg
Veg Hydrabadi,ProductType,15,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",240,,https://drive.google.com/file/d/1BpyahNgAV1FLIwvgAf7ggdp8K4E0Cb1x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegHydrabadi.jpg
Veg Shabnam,ProductType,16,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",240,,https://drive.google.com/file/d/1UP_sj1syvhg8daowR57uu7dgd_3OYIup/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegShabnam.jpg
Veg Jaipuri,ProductType,17,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,https://drive.google.com/file/d/1W2iuySP3g-maGyGMgKdcXvF1XT3J1awp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJaipuri.jpg
Veg Handi,ProductType,18,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",180,,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg
Nargis Kofta,ProductType,19,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",190,,https://drive.google.com/file/d/1caA_Q3p4SKPESr6_NhypARbvGAR74tQB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NargisKofta.jpg
Paneer Bhurji,ProductType,20,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",210,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg
Paneer Kolhapuri,ProductType,21,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",210,,https://drive.google.com/file/d/1-J-2JnzyS-Oe3Ngjai14xQnDzBM_v3Da/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKolhapuri.jpg
Paneer Mushroom,ProductType,22,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",230,,https://drive.google.com/file/d/1Le3_LCLZbxvuA1wj7e7W9P_fFHXEdovO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMushroom.jpg
Chana Garlic,ProductType,23,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",150,,https://drive.google.com/file/d/1a8CiPa2tcmkPsWPn5ji1_sJGKDbsAtrE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ChanaGarlic.jpg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Roti,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,,https://drive.google.com/file/d/1x6gZ4Q7wVOFVo1bP4pT594jcrC0bHQhc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Butter Roti,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",25,,https://drive.google.com/file/d/1PNULLWY7VuyeG2a34qt5BEKw-7DMFTNG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterRoti.jpg
Pudina Roti,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/173BhKz5tmbFeDxewswHlIloZcKzkQKuK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/PudinaRoti.jpg
Methi Roti,ProductType,7,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/16XKT6yI3_QxvounlYKp3bIMxgBp4p6cS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiRoti.jpg
Kulcha,ProductType,8,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/1UiYj7XmI0co1RiWilUv__5eUoEp2_YB_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Kulcha.jpg
Butter Kulcha,ProductType,9,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",40,,https://drive.google.com/file/d/11DOuIe86RXOgEGTqVwSJtZUPheewt2Ih/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterKulcha.jpg
Naan,ProductType,10,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,https://drive.google.com/file/d/1HGpowHCtwGjO9lQu_UGtIBIw8scvg48S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Naan.jpg
Butter Naan,ProductType,11,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",36,,https://drive.google.com/file/d/1MtQMs3CTx3V8aidYwZMPC4fkYQr9cYrr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterNaan.jpg
Cheese Naan,ProductType,12,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",60,,https://drive.google.com/file/d/1I4bcLlVJcmx3ZWiXNJNOm4Gz4lgsjuP_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseNaan.jpg
Garlic Naan,ProductType,13,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",55,,https://drive.google.com/file/d/1ZrjzImNdtXyFGwa8e1Mzd7oH4glw7hFg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GarlicNaan.jpg
Butter Garlic Naan,ProductType,14,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",60,,https://drive.google.com/file/d/1fYXPvQ68vTePbGlJuHKrW-cEOqmlma44/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterGarlicNaan.jpg
Parotha,ProductType,15,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",45,,https://drive.google.com/file/d/1fNac8luNoAaBXAS1_2lf8J5emOG3IRK5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Parotha.png
Butter Parotha,ProductType,16,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",50,,https://drive.google.com/file/d/1czdJ2li3g0gEqAjMt2Bhs5ArgCs6s50j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ButterParotha.jpg
