label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Juices,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Juices,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Juices,",,,,,,
Apple Milk Creams Juice,ProductType,4,"Inventory,Food,Restaurant,Juices,Vegeterian,",100,,https://drive.google.com/file/d/1TFgPisPpP5yxtCN2jpxqFIlPz5mAebfz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/AppleMilkCreamsJuice.jpg,100,
Chikoo Milk Creams Juice,ProductType,5,"Inventory,Food,Restaurant,Juices,Vegeterian,",100,,https://drive.google.com/file/d/1qwn-yuICh_n0ylBx3uQ90kZ9JfeZwELY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChikooMilkCreamsJuice.jpg,100,
Anjir Milk Creams Juice,ProductType,6,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1IMTs9oRXIxuwYOLU2tOlPsSm3ADgNzPe/view?usp=sharing,,,
Jambhul Milk Creams Juice,ProductType,7,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,,,140,
Mango Milk Creams Juice,ProductType,8,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1ALigPbExzAdDL2xQxUcjbazbNwBEUvQl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MangoMilkCreamsJuice.jpg,140,
Mix Fruit Milk Creams Juice,ProductType,9,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1KUvtXu9ded-xjSA4kVpw7DbrBfK4EIFh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MixFruitMilkCreamsJuice.jpg,140,
Papaya Milk Creams Juice,ProductType,10,"Inventory,Food,Restaurant,Juices,Vegeterian,",90,,https://drive.google.com/file/d/1H_1DpLB-RZd3yq4BLEYGtoTqc0vXEewn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/PapayaMilkCreamsJuice.jpg,90,
Strawberry Milk Creams Juice,ProductType,11,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1DpOrZIbjjk-ikJuakgDVgj3VqWdriMC_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/StrawberryMilkCreamsJuice.jpg,140,
Kiwi Milk Creams Juice,ProductType,12,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1ofVXeKYgWVX5q58VXdARBy4K7sEYEO7u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KiwiMilkCreamsJuice.jpg,140,
Sitafal Milk Creams Juice,ProductType,13,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1vVf3Kj4SPopWvdqkTUmqfy2M1Yl0EZht/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SitafalMilkCreamsJuice.jpg,140,
Peru Milk Creams Juice,ProductType,14,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,,,140,
Kharbooja Milk Creams Juice,ProductType,15,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,https://drive.google.com/file/d/1KKogv4tzx8U-FiorUl4aKnruBc6UiyY0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KharboojaMilkCreamsJuice.jpg,140,
Chocolate Dilwala Milk Creams Juice,ProductType,16,"Inventory,Food,Restaurant,Juices,Vegeterian,",140,,,,140,
Apple Dry Fruit Juice,ProductType,17,"Inventory,Food,Restaurant,Juices,Vegeterian,",150,,https://drive.google.com/file/d/1Y9cdut6WLIezL0z1UuzRCyEsKI4gqupB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/AppleDryFruitJuice.jpg,150,
Chikoo Dry Fruit Juice,ProductType,18,"Inventory,Food,Restaurant,Juices,Vegeterian,",170,,https://drive.google.com/file/d/15ER0WPGyU0BAOqSpIxenNxT6AEVHjeE2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChikooDryFruitJuice.jpg,,
Anjir Dry Fruit Juice,ProductType,19,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1ojsnLsi3gXlq9QzFZBS1vz0ry4MPgzFj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/AnjirDryFruitJuice.jpg,,
Jambhul Dry Fruit Juice,ProductType,20,"Inventory,Food,Restaurant,Juices,Vegeterian,",170,,,,180,
Mango Dry Fruit Juice,ProductType,21,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1yTRWIe4xNXrLqB0ry1KTYh56j0UVNJGZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MangoDryFruitJuice.jpg,180,
Mix Fruit Dry Fruit Juice,ProductType,22,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1RfkH9Cf6IXSEeDrGIk_2KzU4hhaYJy-H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MixFruitDryFruitJuice.jpg,180,
Papaya Dry Fruit Juice,ProductType,23,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,,,,
Strawberry Dry Fruit Juice,ProductType,24,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1AvjIfKT06gv2jJIt25KZ8RCUaNI3Z_p_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/StrawberryDryFruitJuice.jpg,180,
Kiwi Dry Fruit Juice,ProductType,25,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1xL27dyIP12nFhpMRF-fVmW-qpTKsYZDz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KiwiDryFruitJuice.jpg,180,
Sitafal Dry Fruit Juice,ProductType,26,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1KaEtWzpGhR6_c6gGF6P_ST2fMSTlP0_0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SitafalDryFruitJuice.jpg,180,
Peru Dry Fruit Juice,ProductType,27,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,,,180,
Kharbooja Dry Fruit Juice,ProductType,28,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,https://drive.google.com/file/d/1tiUWilGNxExdwqtgYs6cPuOPw6tPFCsS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KharboojaDryFruitJuice.jpg,180,
Chocolate Dilwala Dry Fruit Juice,ProductType,29,"Inventory,Food,Restaurant,Juices,Vegeterian,",180,,,,180,
Apple Dry Fruit Juice,ProductType,30,"Inventory,Food,Restaurant,Juices,Vegeterian,",190,,https://drive.google.com/file/d/1Y9cdut6WLIezL0z1UuzRCyEsKI4gqupB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/AppleDryFruitJuice.jpg,,
